geoid10,downMean,upMean,downStdDev,upStdDev,tests,income,lon,lat
060378003261008,4.9753827665375,3.9031361607125,1.9080618965125,1.32536701505,8,121136,34.1455089,-118.7874555
060378004061071,0.039893333329999996,0.13756862749999998,0.06309677294,0.2040246289,8,130667,34.0616803,-118.8787008
060378004061130,6.677218839066668,1.0182807111333334,3.0669603094,0.5174327955666667,8,130667,34.048697,-118.8845088
060378004063004,8.7126081294375,2.682543807875,3.2634411713875,0.4879397834375,8,141068,34.0402384,-118.8640817
060378004063022,8.126397846000001,1.5783917163857144,3.3379178407142858,0.5797960467857142,8,141068,34.0441328,-118.9129741
060378004101055,16.317843173775,6.190376946662499,6.7792254702875,2.1478271278875005,8,140549,34.0388283,-118.7367651
060378005041010,17.681664220000002,5.835477083333333,5.949546248833332,1.2005787627333333,8,116848,34.0566379,-118.6693103
060378005041021,10.8568259641375,5.560705182875,4.3082587395525005,1.2949269906,8,116848,34.0423068,-118.6731236
060378005061052,2.0275207951833334,0.2140203903233333,1.1729893647333334,0.3106399310166667,8,120417,34.0410922,-118.6262798
060379001031016,8.6652093809625,3.3065568937625,2.270847610025,0.7861707798,8,36595,34.6407384,-117.8300505
060379001032013,5.0342065841500006,0.8914326245875,2.3912238101,0.5351048806125,8,48708,34.6302395,-117.8526648
060379002011000,1.9457048176,1.05246442968,1.15419468862,0.3863979087800001,8,33482,34.7708624,-117.9028688
060379002011029,5.837125560142857,2.803903456285714,1.7134746062000001,0.5531112722428572,8,33482,34.7662618,-117.9711166
060379002011212,10.799465312062502,4.09626504821625,5.63846137655,1.4010574092375,8,33482,34.6938496,-118.0372656
060379002011370,5.477271855975,3.3666755123249996,1.7456782865700002,1.0081428485375,8,33482,34.6498374,-117.9651388
060379005052008,8.7943288498125,3.7635355467,3.6042417472125003,1.214648821775,8,34405,34.6759259,-118.1065253
060379009001352,6.407992763112501,5.642043316825,2.776475783975,1.52929083745,8,92652,34.7402536,-118.267905
060379009002001,13.953973365312502,5.9529940027625,7.3752523413375,1.6415879723875,8,39438,34.8078949,-118.1511137
060379009002168,13.1798221445625,7.7728505251625,6.909060421887501,2.6178703917375,8,39438,34.7118951,-118.1675483
060379012054058,3.963561538625,2.4309249237875004,1.9988067797125,0.8136968990000001,8,84963,34.6884412,-118.2904251
060379012091227,10.236816114714287,2.2453945774,5.114315841028572,0.8586760423571429,8,50250,34.7714186,-118.5514489
060379012091726,13.573740212857144,3.1023536152571434,6.5536345010999995,1.0587391652428573,8,50250,34.7596828,-118.697441
060379012101053,29.41613125,9.12926875,12.6167163725,2.11311122115,8,65074,34.6489897,-118.3852396
060379100011079,2.2848453508625,2.570247368425,0.8827269917,0.5345847684124999,8,39563,34.6151132,-117.9683638
060379100021211,18.471246685375,10.42449375,6.195036805999999,2.7355254485000002,8,50144,34.5104527,-117.9102962
060379101011011,3.799253455875,3.4362753589874995,1.9378082012625,1.0485704008875,8,32188,34.6349439,-118.0276109
060379101011102,19.927010889425002,8.272366001775,5.3191422009,2.1915102253375,8,32188,34.5818278,-117.971816
060379102011007,11.96802447925,7.2822362590875,5.13060882625,2.0325276275375,8,74821,34.6325609,-118.1278395
060379102021043,9.287188651625002,5.3830612481125,3.924744725,1.595806330425,8,94271,34.6329615,-118.1810773
060379102061030,25.103760304799998,9.655416538462,11.8391026212,3.01534298544,8,101683,34.6035246,-118.2471216
